,0
1553,1553
1501,1501
1417,1417
51,51
3580,3580
1322,1322
3925,3925
1183,1183
4484,4484
4430,4430
4287,4287
26,26
3933,3933
429,429
2924,2924
2389,2389
2780,2780
1602,1602
3318,3318
1084,1084
2230,2230
3497,3497
683,683
2580,2580
625,625
1777,1777
3123,3123
1647,1647
132,132
3595,3595
2865,2865
2525,2525
4300,4300
1407,1407
120,120
2651,2651
1812,1812
4111,4111
3053,3053
2069,2069
2540,2540
2468,2468
2909,2909
596,596
1650,1650
2554,2554
1502,1502
134,134
1434,1434
693,693
831,831
789,789
2607,2607
1551,1551
3106,3106
4181,4181
3563,3563
17,17
2227,2227
1010,1010
2751,2751
1345,1345
443,443
650,650
2098,2098
1803,1803
1745,1745
1760,1760
122,122
1313,1313
3959,3959
1157,1157
3733,3733
4412,4412
4124,4124
2323,2323
3749,3749
297,297
3894,3894
2985,2985
1116,1116
2550,2550
3220,3220
1563,1563
3093,3093
4465,4465
4050,4050
1618,1618
315,315
93,93
3041,3041
3686,3686
3689,3689
4013,4013
2484,2484
1056,1056
3355,3355
2663,2663
1001,1001
4247,4247
1181,1181
4335,4335
1260,1260
2718,2718
1691,1691
3066,3066
3203,3203
2457,2457
438,438
1504,1504
691,691
2307,2307
3527,3527
4404,4404
2949,2949
177,177
2025,2025
3435,3435
144,144
3380,3380
175,175
705,705
287,287
2404,2404
45,45
2297,2297
1718,1718
1659,1659
471,471
598,598
3711,3711
3712,3712
1572,1572
881,881
4471,4471
1490,1490
3201,3201
1807,1807
2684,2684
2707,2707
2609,2609
149,149
4094,4094
2215,2215
350,350
802,802
1833,1833
1533,1533
1952,1952
3224,3224
2372,2372
2216,2216
1743,1743
3674,3674
3747,3747
2899,2899
856,856
999,999
4439,4439
871,871
322,322
594,594
308,308
3468,3468
1586,1586
2561,2561
2778,2778
3833,3833
19,19
1550,1550
907,907
478,478
1728,1728
3518,3518
2464,2464
960,960
790,790
3015,3015
2555,2555
3252,3252
2304,2304
290,290
2487,2487
4466,4466
1844,1844
70,70
3568,3568
3776,3776
1515,1515
3953,3953
3797,3797
416,416
2887,2887
937,937
3633,3633
2292,2292
2110,2110
4456,4456
3942,3942
61,61
1018,1018
3504,3504
3400,3400
621,621
318,318
1564,1564
670,670
3920,3920
2764,2764
1652,1652
3708,3708
3411,3411
2585,2585
214,214
4505,4505
734,734
3979,3979
4220,4220
3761,3761
2600,2600
1815,1815
1835,1835
3576,3576
196,196
1726,1726
1338,1338
1196,1196
3035,3035
1370,1370
3423,3423
1808,1808
505,505
1921,1921
3810,3810
1461,1461
1115,1115
3562,3562
3496,3496
96,96
3193,3193
4226,4226
139,139
2168,2168
4265,4265
2351,2351
1292,1292
3705,3705
4536,4536
2264,2264
829,829
2029,2029
3466,3466
2117,2117
1264,1264
1974,1974
1228,1228
2528,2528
1270,1270
1610,1610
1268,1268
4268,4268
2698,2698
1769,1769
555,555
3273,3273
2401,2401
150,150
746,746
1878,1878
2240,2240
3728,3728
3537,3537
457,457
561,561
3648,3648
4016,4016
203,203
1032,1032
1740,1740
1123,1123
239,239
2299,2299
911,911
2195,2195
2875,2875
3917,3917
4429,4429
1910,1910
3182,3182
3841,3841
376,376
3886,3886
2699,2699
4516,4516
1536,1536
787,787
387,387
1173,1173
3939,3939
3673,3673
1595,1595
1552,1552
2644,2644
1886,1886
3229,3229
3414,3414
371,371
1746,1746
800,800
1261,1261
3064,3064
4499,4499
2228,2228
1402,1402
3458,3458
1487,1487
1180,1180
2821,2821
2673,2673
3395,3395
1090,1090
191,191
1684,1684
838,838
1643,1643
4431,4431
1068,1068
3850,3850
1672,1672
4369,4369
3010,3010
3126,3126
2998,2998
2398,2398
1451,1451
4160,4160
2337,2337
3635,3635
166,166
1558,1558
1978,1978
1108,1108
1027,1027
1744,1744
95,95
862,862
2787,2787
2936,2936
1694,1694
80,80
2614,2614
2138,2138
152,152
3828,3828
3131,3131
2031,2031
668,668
3704,3704
2378,2378
2295,2295
3024,3024
2238,2238
2792,2792
2244,2244
1075,1075
309,309
1698,1698
1126,1126
4483,4483
859,859
2282,2282
4178,4178
1675,1675
3845,3845
2063,2063
184,184
205,205
410,410
655,655
3817,3817
1113,1113
305,305
1210,1210
168,168
4250,4250
1272,1272
1964,1964
3173,3173
1767,1767
2944,2944
211,211
2686,2686
84,84
1831,1831
3664,3664
2939,2939
2114,2114
4030,4030
3206,3206
4023,4023
1861,1861
4019,4019
4108,4108
180,180
4043,4043
432,432
289,289
3628,3628
3526,3526
2172,2172
4116,4116
188,188
2103,2103
3338,3338
279,279
366,366
4449,4449
270,270
3855,3855
2721,2721
1444,1444
3844,3844
2276,2276
1281,1281
367,367
2208,2208
220,220
626,626
1578,1578
2932,2932
1413,1413
461,461
1966,1966
551,551
1729,1729
3638,3638
1569,1569
3862,3862
4508,4508
402,402
2535,2535
2784,2784
4327,4327
2067,2067
731,731
3438,3438
1862,1862
1024,1024
192,192
3158,3158
1321,1321
314,314
3130,3130
4336,4336
1874,1874
4251,4251
2858,2858
113,113
3392,3392
4237,4237
4059,4059
1175,1175
3198,3198
4189,4189
1474,1474
2754,2754
3740,3740
1288,1288
949,949
4413,4413
3536,3536
3232,3232
1419,1419
721,721
2805,2805
4446,4446
4168,4168
3241,3241
2320,2320
4205,4205
2943,2943
1747,1747
4480,4480
450,450
2758,2758
4264,4264
2650,2650
602,602
1438,1438
4324,4324
1454,1454
2313,2313
2519,2519
254,254
1038,1038
511,511
4410,4410
2045,2045
73,73
1909,1909
1034,1034
4270,4270
2498,2498
3192,3192
599,599
776,776
3154,3154
2897,2897
3702,3702
426,426
3339,3339
494,494
351,351
3213,3213
1666,1666
807,807
1029,1029
3984,3984
1606,1606
3737,3737
1237,1237
618,618
1189,1189
2991,2991
1869,1869
811,811
4010,4010
1052,1052
1186,1186
1498,1498
3914,3914
1117,1117
945,945
2233,2233
356,356
3605,3605
1323,1323
3145,3145
810,810
877,877
1119,1119
4144,4144
2606,2606
2942,2942
2182,2182
680,680
1378,1378
3973,3973
1061,1061
3447,3447
2748,2748
332,332
2809,2809
720,720
4248,4248
1162,1162
2803,2803
3426,3426
3233,3233
4423,4423
1391,1391
3909,3909
944,944
3366,3366
1293,1293
2016,2016
3656,3656
589,589
969,969
445,445
1756,1756
3061,3061
1044,1044
1041,1041
452,452
3785,3785
3413,3413
3866,3866
1483,1483
869,869
14,14
2801,2801
2772,2772
1468,1468
2247,2247
1545,1545
3113,3113
360,360
1503,1503
4230,4230
2705,2705
2183,2183
2423,2423
1207,1207
1937,1937
2902,2902
568,568
4520,4520
2011,2011
2894,2894
915,915
4435,4435
2691,2691
3081,3081
490,490
1873,1873
4086,4086
2213,2213
843,843
879,879
2669,2669
1174,1174
3101,3101
2570,2570
506,506
393,393
1720,1720
1421,1421
1392,1392
1393,1393
1786,1786
3336,3336
2696,2696
2091,2091
1741,1741
2846,2846
2835,2835
4077,4077
2285,2285
1532,1532
2789,2789
433,433
2617,2617
1598,1598
2648,2648
1522,1522
3012,3012
1344,1344
1534,1534
3169,3169
1158,1158
1231,1231
1697,1697
3134,3134
4291,4291
2971,2971
1736,1736
156,156
3671,3671
1611,1611
3521,3521
643,643
1222,1222
1467,1467
2963,2963
1351,1351
3502,3502
1988,1988
4056,4056
4315,4315
330,330
3646,3646
2833,2833
3659,3659
3676,3676
227,227
2494,2494
3569,3569
2409,2409
1512,1512
1128,1128
2232,2232
3753,3753
1220,1220
2970,2970
755,755
518,518
3148,3148
32,32
2439,2439
3930,3930
2451,2451
4458,4458
2254,2254
2653,2653
3196,3196
744,744
733,733
4259,4259
4119,4119
3773,3773
2755,2755
1055,1055
794,794
1634,1634
2422,2422
1187,1187
3937,3937
2817,2817
783,783
4192,4192
3808,3808
994,994
2813,2813
229,229
857,857
1094,1094
2101,2101
1915,1915
408,408
170,170
540,540
3359,3359
1703,1703
4242,4242
1397,1397
4443,4443
1497,1497
2531,2531
3667,3667
2850,2850
1876,1876
4492,4492
3248,3248
3347,3347
3462,3462
4359,4359
2722,2722
676,676
3531,3531
2053,2053
3540,3540
3105,3105
4307,4307
43,43
564,564
3622,3622
2962,2962
4208,4208
1295,1295
3291,3291
4254,4254
4514,4514
2529,2529
251,251
1192,1192
4400,4400
4461,4461
1426,1426
4418,4418
2083,2083
3388,3388
4296,4296
2820,2820
325,325
3328,3328
2948,2948
4511,4511
803,803
2344,2344
1051,1051
3607,3607
1657,1657
2960,2960
3165,3165
1488,1488
3665,3665
620,620
4140,4140
2392,2392
3762,3762
2668,2668
2728,2728
328,328
1623,1623
527,527
897,897
4294,4294
99,99
1360,1360
4219,4219
1583,1583
2934,2934
2459,2459
1375,1375
1047,1047
3559,3559
2475,2475
3965,3965
2185,2185
657,657
495,495
4234,4234
354,354
2793,2793
1411,1411
1967,1967
2436,2436
501,501
2749,2749
1073,1073
809,809
3000,3000
2096,2096
3329,3329
978,978
4173,4173
3396,3396
3822,3822
605,605
3478,3478
1221,1221
3270,3270
4260,4260
2088,2088
2256,2256
1941,1941
3095,3095
100,100
12,12
3551,3551
3476,3476
4123,4123
4527,4527
174,174
1983,1983
3929,3929
3865,3865
3898,3898
4183,4183
1907,1907
2197,2197
3954,3954
217,217
3240,3240
2441,2441
2688,2688
690,690
2153,2153
2639,2639
2545,2545
1106,1106
4420,4420
1309,1309
1507,1507
4444,4444
4411,4411
576,576
1482,1482
3982,3982
888,888
4221,4221
1253,1253
2222,2222
817,817
2483,2483
293,293
4167,4167
990,990
3544,3544
353,353
3513,3513
3955,3955
2135,2135
4292,4292
1926,1926
2154,2154
4309,4309
2562,2562
2127,2127
52,52
1479,1479
1995,1995
2997,2997
3111,3111
1892,1892
2019,2019
2458,2458
3647,3647
1362,1362
2499,2499
30,30
3732,3732
2092,2092
436,436
912,912
3573,3573
4100,4100
2763,2763
3082,3082
1149,1149
903,903
2610,2610
1665,1665
2672,2672
183,183
3038,3038
1717,1717
321,321
4391,4391
2677,2677
1902,1902
3693,3693
3985,3985
1789,1789
44,44
1302,1302
1315,1315
3932,3932
1204,1204
801,801
3007,3007
3958,3958
1864,1864
256,256
2097,2097
1897,1897
647,647
2416,2416
1238,1238
2630,2630
3121,3121
4024,4024
4081,4081
3437,3437
3483,3483
1912,1912
4165,4165
263,263
3815,3815
56,56
695,695
1406,1406
2268,2268
1258,1258
4462,4462
4273,4273
682,682
1730,1730
1432,1432
3003,3003
286,286
1480,1480
2170,2170
3511,3511
4253,4253
1164,1164
1505,1505
736,736
1255,1255
3745,3745
4356,4356
2310,2310
4164,4164
1071,1071
1820,1820
1212,1212
2311,2311
3264,3264
2714,2714
3250,3250
4393,4393
498,498
3801,3801
3978,3978
3456,3456
2022,2022
3621,3621
2880,2880
3452,3452
1022,1022
3604,3604
4437,4437
1420,1420
3237,3237
665,665
4382,4382
3874,3874
1017,1017
1510,1510
4040,4040
3757,3757
4277,4277
1257,1257
245,245
1163,1163
266,266
2330,2330
1114,1114
63,63
1662,1662
3623,3623
2301,2301
2500,2500
1340,1340
2342,2342
1779,1779
3300,3300
3565,3565
103,103
2905,2905
1557,1557
508,508
1723,1723
4474,4474
1200,1200
865,865
3583,3583
908,908
1773,1773
835,835
358,358
3590,3590
299,299
1003,1003
1705,1705
3525,3525
1860,1860
761,761
4534,4534
3678,3678
2312,2312
2018,2018
2984,2984
3137,3137
3872,3872
1770,1770
1188,1188
2480,2480
3115,3115
4186,4186
108,108
1849,1849
3721,3721
58,58
76,76
3820,3820
368,368
3669,3669
785,785
1738,1738
3189,3189
1436,1436
1732,1732
3075,3075
4473,4473
121,121
2689,2689
3046,3046
3020,3020
910,910
124,124
3997,3997
3279,3279
2886,2886
1178,1178
2876,2876
2221,2221
442,442
1971,1971
1615,1615
2873,2873
4316,4316
1227,1227
2583,2583
324,324
4328,4328
2940,2940
1366,1366
2952,2952
2521,2521
1006,1006
2916,2916
1225,1225
3285,3285
3132,3132
1216,1216
3292,3292
420,420
2834,2834
6,6
932,932
439,439
2903,2903
2242,2242
1793,1793
4209,4209
4436,4436
2988,2988
3597,3597
2726,2726
1361,1361
3616,3616
2314,2314
2547,2547
194,194
1936,1936
2574,2574
2252,2252
2810,2810
1714,1714
1330,1330
1130,1130
4202,4202
2107,2107
222,222
1455,1455
2194,2194
573,573
1236,1236
2321,2321
2855,2855
418,418
2572,2572
1104,1104
257,257
295,295
1644,1644
3139,3139
3784,3784
2978,2978
2501,2501
3869,3869
712,712
1898,1898
1867,1867
4132,4132
3265,3265
1289,1289
449,449
1965,1965
2146,2146
958,958
3331,3331
654,654
1427,1427
3707,3707
2288,2288
2319,2319
411,411
2512,2512
1938,1938
2266,2266
1962,1962
1627,1627
2951,2951
4325,4325
430,430
4012,4012
1425,1425
2369,2369
1176,1176
2765,2765
2615,2615
1590,1590
102,102
4290,4290
1429,1429
1263,1263
3752,3752
1871,1871
3948,3948
3386,3386
2287,2287
4166,4166
1918,1918
3575,3575
1539,1539
3415,3415
1356,1356
2807,2807
4082,4082
396,396
1064,1064
2957,2957
818,818
2034,2034
2591,2591
816,816
3684,3684
381,381
2413,2413
3837,3837
1859,1859
2277,2277
2095,2095
864,864
3995,3995
3008,3008
554,554
1159,1159
1213,1213
2509,2509
3652,3652
3289,3289
2028,2028
2123,2123
4051,4051
748,748
3539,3539
3599,3599
866,866
752,752
3783,3783
3434,3434
2577,2577
1813,1813
729,729
2269,2269
3185,3185
3098,3098
1721,1721
4472,4472
1110,1110
4041,4041
3532,3532
346,346
1612,1612
4428,4428
4243,4243
578,578
75,75
2977,2977
3971,3971
3756,3756
3001,3001
178,178
4034,4034
2781,2781
2124,2124
3988,3988
604,604
1513,1513
25,25
658,658
2823,2823
3535,3535
173,173
3871,3871
331,331
342,342
2654,2654
2131,2131
1088,1088
479,479
727,727
3135,3135
976,976
3861,3861
2471,2471
3961,3961
1616,1616
1299,1299
2481,2481
4179,4179
660,660
2470,2470
1670,1670
2533,2533
3290,3290
3793,3793
2837,2837
3194,3194
3022,3022
3608,3608
2647,2647
1278,1278
4216,4216
3972,3972
2354,2354
67,67
2077,2077
221,221
3557,3557
4190,4190
3507,3507
2159,2159
88,88
2191,2191
2384,2384
2357,2357
3594,3594
1593,1593
2290,2290
2164,2164
2819,2819
4138,4138
3610,3610
3956,3956
1143,1143
397,397
3357,3357
1565,1565
2414,2414
2303,2303
1398,1398
1903,1903
1096,1096
3341,3341
1350,1350
2167,2167
979,979
283,283
1298,1298
4319,4319
898,898
3307,3307
3895,3895
3320,3320
613,613
3133,3133
1818,1818
4395,4395
423,423
3788,3788
3655,3655
4530,4530
839,839
500,500
4256,4256
3210,3210
549,549
557,557
887,887
1749,1749
3063,3063
2426,2426
218,218
2522,2522
1589,1589
1138,1138
209,209
2633,2633
2207,2207
2144,2144
550,550
1424,1424
2827,2827
2488,2488
948,948
1780,1780
2176,2176
532,532
4033,4033
4422,4422
3439,3439
1954,1954
2881,2881
639,639
4389,4389
3986,3986
0,0
1885,1885
4452,4452
2915,2915
3459,3459
2111,2111
247,247
2085,2085
4036,4036
3834,3834
3017,3017
3710,3710
3603,3603
2014,2014
2387,2387
3650,3650
2543,2543
1880,1880
1957,1957
1782,1782
2918,2918
278,278
952,952
2794,2794
1924,1924
4447,4447
4517,4517
2405,2405
3195,3195
2155,2155
4280,4280
2453,2453
2099,2099
2339,2339
155,155
2380,2380
985,985
3127,3127
2377,2377
3713,3713
981,981
3280,3280
1829,1829
3298,3298
1837,1837
942,942
2442,2442
2925,2925
2493,2493
4376,4376
3184,3184
1457,1457
1509,1509
1395,1395
264,264
3243,3243
1499,1499
700,700
4241,4241
644,644
4482,4482
1405,1405
929,929
2750,2750
2331,2331
4289,4289
2245,2245
246,246
4357,4357
4417,4417
2406,2406
923,923
4156,4156
1185,1185
268,268
669,669
1800,1800
2283,2283
3688,3688
2476,2476
3505,3505
3085,3085
2486,2486
2889,2889
648,648
543,543
3868,3868
1739,1739
3484,3484
259,259
1632,1632
2473,2473
927,927
612,612
1543,1543
1023,1023
3630,3630
1152,1152
219,219
3960,3960
485,485
2927,2927
2059,2059
258,258
3661,3661
386,386
847,847
3258,3258
2177,2177
3199,3199
1477,1477
3631,3631
3424,3424
553,553
1233,1233
4459,4459
2236,2236
3598,3598
3231,3231
3632,3632
1095,1095
1620,1620
3703,3703
3870,3870
1320,1320
1904,1904
507,507
7,7
1609,1609
3867,3867
2584,2584
2720,2720
3477,3477
3945,3945
1450,1450
4501,4501
378,378
3896,3896
2716,2716
678,678
773,773
1973,1973
1011,1011
3129,3129
2715,2715
3741,3741
3983,3983
65,65
3835,3835
3882,3882
3744,3744
3542,3542
679,679
2465,2465
2229,2229
781,781
3412,3412
627,627
2656,2656
4498,4498
4200,4200
3138,3138
1788,1788
4170,4170
883,883
1091,1091
382,382
1972,1972
3601,3601
276,276
3309,3309
31,31
2757,2757
2260,2260
3640,3640
610,610
3813,3813
570,570
2515,2515
343,343
3286,3286
4143,4143
1702,1702
2605,2605
3848,3848
4161,4161
3275,3275
4360,4360
4089,4089
3315,3315
1135,1135
2664,2664
1537,1537
4091,4091
4249,4249
841,841
1600,1600
3181,3181
1894,1894
1517,1517
965,965
3916,3916
528,528
176,176
1621,1621
422,422
4502,4502
3611,3611
4099,4099
2578,2578
1377,1377
572,572
1877,1877
1832,1832
2910,2910
288,288
4305,4305
2005,2005
3337,3337
3547,3547
3460,3460
2662,2662
3683,3683
2157,2157
4102,4102
1896,1896
3277,3277
3372,3372
383,383
3924,3924
370,370
2452,2452
3432,3432
3760,3760
2598,2598
4338,4338
4455,4455
1105,1105
4169,4169
2002,2002
3268,3268
1842,1842
141,141
4175,4175
491,491
2907,2907
3442,3442
198,198
2740,2740
4432,4432
4403,4403
1171,1171
1226,1226
1783,1783
2534,2534
1422,1422
3800,3800
2685,2685
4095,4095
4060,4060
195,195
1556,1556
3951,3951
874,874
3080,3080
4122,4122
1872,1872
3789,3789
1251,1251
840,840
3938,3938
581,581
3806,3806
1752,1752
1641,1641
1839,1839
4261,4261
905,905
631,631
2567,2567
1822,1822
162,162
2631,2631
2379,2379
4076,4076
413,413
617,617
3406,3406
1431,1431
925,925
3538,3538
547,547
2767,2767
4129,4129
3574,3574
1566,1566
1592,1592
1961,1961
2622,2622
2078,2078
3365,3365
3670,3670
611,611
1336,1336
2775,2775
640,640
930,930
2478,2478
4053,4053
742,742
637,637
3904,3904
2917,2917
3653,3653
2882,2882
2575,2575
3217,3217
1097,1097
4255,4255
48,48
2024,2024
3239,3239
2361,2361
921,921
3052,3052
546,546
3039,3039
756,756
3876,3876
2986,2986
4346,4346
3578,3578
4334,4334
1642,1642
4361,4361
4368,4368
2366,2366
3818,3818
2955,2955
1945,1945
4507,4507
836,836
4281,4281
2080,2080
3076,3076
3200,3200
2189,2189
3533,3533
1582,1582
3654,3654
2119,2119
1070,1070
1775,1775
4367,4367
1283,1283
2532,2532
3083,3083
4318,4318
3759,3759
3471,3471
3827,3827
3859,3859
4506,4506
1326,1326
1905,1905
3908,3908
3856,3856
2857,2857
1651,1651
3306,3306
3682,3682
2281,2281
2178,2178
3600,3600
3681,3681
1373,1373
3967,3967
2893,2893
4394,4394
4106,4106
1727,1727
867,867
926,926
4026,4026
997,997
1337,1337
3826,3826
1099,1099
1132,1132
3364,3364
2267,2267
210,210
3299,3299
3572,3572
1840,1840
2364,2364
59,59
1211,1211
2628,2628
3915,3915
2771,2771
4477,4477
3663,3663
765,765
2174,2174
2665,2665
3288,3288
1078,1078
2634,2634
3014,3014
2181,2181
1751,1751
1538,1538
2596,2596
1244,1244
2623,2623
582,582
2495,2495
272,272
2627,2627
940,940
1080,1080
187,187
3520,3520
941,941
2921,2921
4522,4522
3911,3911
4440,4440
4414,4414
3350,3350
1765,1765
2989,2989
2440,2440
226,226
2743,2743
535,535
1929,1929
1992,1992
4069,4069
1404,1404
2586,2586
3554,3554
697,697
1124,1124
2118,2118
2742,2742
4125,4125
2425,2425
1758,1758
1778,1778
3794,3794
586,586
2536,2536
1400,1400
3657,3657
4494,4494
2374,2374
1037,1037
3508,3508
208,208
2527,2527
565,565
313,313
601,601
233,233
2066,2066
931,931
4075,4075
4343,4343
1036,1036
111,111
2968,2968
1089,1089
3489,3489
1754,1754
230,230
4532,4532
1919,1919
2250,2250
1033,1033
472,472
1514,1514
4128,4128
2659,2659
4386,4386
2843,2843
1506,1506
1127,1127
1923,1923
3883,3883
3207,3207
2115,2115
4509,4509
3891,3891
2770,2770
2298,2298
1209,1209
361,361
135,135
1134,1134
2576,2576
1151,1151
3211,3211
4158,4158
3764,3764
1830,1830
1053,1053
4227,4227
22,22
1653,1653
2279,2279
2661,2661
2328,2328
3340,3340
460,460
1067,1067
87,87
3404,3404
2210,2210
282,282
462,462
212,212
2093,2093
1368,1368
234,234
2309,2309
597,597
3946,3946
3335,3335
662,662
4503,4503
4288,4288
2649,2649
2844,2844
779,779
3715,3715
4217,4217
2727,2727
685,685
2629,2629
2293,2293
2225,2225
1850,1850
3881,3881
1688,1688
4453,4453
782,782
521,521
522,522
2496,2496
3274,3274
2884,2884
3641,3641
2347,2347
1511,1511
1882,1882
651,651
2564,2564
369,369
2202,2202
118,118
2753,2753
2520,2520
4110,4110
1613,1613
3096,3096
962,962
2348,2348
3153,3153
2518,2518
4228,4228
3593,3593
2346,2346
2037,2037
772,772
1284,1284
4306,4306
1414,1414
1234,1234
2251,2251
435,435
1674,1674
365,365
2552,2552
231,231
3344,3344
3609,3609
407,407
2090,2090
86,86
844,844
3980,3980
2680,2680
855,855
78,78
4153,4153
3811,3811
2420,2420
2417,2417
2652,2652
3485,3485
3418,3418
2840,2840
424,424
392,392
4298,4298
104,104
2602,2602
1948,1948
1459,1459
2702,2702
2333,2333
2258,2258
3857,3857
1587,1587
3034,3034
1731,1731
3077,3077
3050,3050
1791,1791
1940,1940
702,702
2341,2341
496,496
464,464
2697,2697
3782,3782
4052,4052
4235,4235
2706,2706
2447,2447
2112,2112
900,900
1446,1446
2964,2964
741,741
2186,2186
4002,4002
1206,1206
509,509
2184,2184
3326,3326
4001,4001
2710,2710
2044,2044
767,767
4424,4424
3613,3613
421,421
123,123
3488,3488
4006,4006
819,819
1403,1403
1382,1382
2148,2148
1575,1575
1638,1638
1795,1795
4374,4374
399,399
3720,3720
4035,4035
2407,2407
1352,1352
3662,3662
4133,4133
2130,2130
982,982
456,456
3624,3624
3751,3751
1950,1950
3738,3738
4240,4240
641,641
1953,1953
4203,4203
4193,4193
4330,4330
2759,2759
1884,1884
3949,3949
2588,2588
2402,2402
845,845
542,542
91,91
4362,4362
1979,1979
2592,2592
3379,3379
4323,4323
4093,4093
1048,1048
1960,1960
237,237
2460,2460
1133,1133
1805,1805
3454,3454
163,163
4154,4154
2776,2776
4373,4373
2655,2655
3013,3013
4238,4238
1811,1811
4535,4535
3771,3771
2994,2994
2329,2329
2812,2812
4025,4025
4225,4225
3765,3765
1452,1452
593,593
41,41
560,560
3500,3500
2526,2526
243,243
1339,1339
2316,2316
2456,2456
3758,3758
1442,1442
261,261
2305,2305
1689,1689
1725,1725
3361,3361
834,834
1866,1866
2010,2010
340,340
1601,1601
4063,4063
4266,4266
480,480
3227,3227
4214,4214
2530,2530
4415,4415
1766,1766
4044,4044
2432,2432
3159,3159
4066,4066
3048,3048
1271,1271
4491,4491
4085,4085
4460,4460
347,347
3334,3334
4201,4201
4171,4171
1423,1423
656,656
2102,2102
632,632
2666,2666
3036,3036
4332,4332
2980,2980
1465,1465
2355,2355
115,115
1821,1821
1494,1494
1232,1232
4355,4355
1153,1153
3962,3962
57,57
3685,3685
4485,4485
1735,1735
2196,2196
3790,3790
2620,2620
3049,3049
707,707
1093,1093
2954,2954
1376,1376
72,72
1922,1922
3463,3463
1764,1764
743,743
4525,4525
1005,1005
1190,1190
2646,2646
1125,1125
1241,1241
2367,2367
3470,3470
998,998
1577,1577
4350,4350
1826,1826
2732,2732
4526,4526
4015,4015
440,440
1100,1100
3271,3271
649,649
1546,1546
3417,3417
2643,2643
630,630
672,672
1249,1249
482,482
1584,1584
4204,4204
4295,4295
1462,1462
3799,3799
3002,3002
49,49
3687,3687
4263,4263
858,858
1072,1072
719,719
2619,2619
1660,1660
1656,1656
4062,4062
3589,3589
4513,4513
3722,3722
4049,4049
4317,4317
3430,3430
1385,1385
3174,3174
1399,1399
1195,1195
1408,1408
3166,3166
1798,1798
1475,1475
3058,3058
35,35
2937,2937
2345,2345
2700,2700
2359,2359
2206,2206
3349,3349
1286,1286
349,349
3690,3690
2594,2594
1681,1681
1443,1443
3768,3768
1671,1671
2450,2450
1179,1179
3494,3494
3981,3981
2992,2992
1916,1916
1357,1357
1825,1825
786,786
469,469
140,140
788,788
323,323
3409,3409
714,714
4068,4068
4372,4372
3944,3944
4176,4176
2503,2503
406,406
2788,2788
1004,1004
890,890
2411,2411
2848,2848
2390,2390
3262,3262
3804,3804
4185,4185
303,303
4101,4101
4313,4313
664,664
1177,1177
1947,1947
3807,3807
2920,2920
2132,2132
3718,3718
961,961
2009,2009
2149,2149
3316,3316
2338,2338
3218,3218
304,304
1440,1440
1496,1496
916,916
3515,3515
3084,3084
1624,1624
3176,3176
821,821
3668,3668
1354,1354
4078,4078
850,850
1000,1000
2798,2798
18,18
1637,1637
1667,1667
493,493
3878,3878
3089,3089
687,687
3091,3091
1608,1608
3381,3381
3903,3903
1009,1009
2408,2408
1092,1092
1327,1327
1677,1677
1999,1999
1310,1310
1987,1987
3026,3026
344,344
3416,3416
986,986
3188,3188
3735,3735
3310,3310
2566,2566
2517,2517
1142,1142
2358,2358
1198,1198
85,85
1518,1518
3475,3475
1381,1381
3550,3550
1014,1014
128,128
1364,1364
4344,4344
4401,4401
891,891
3558,3558
1359,1359
307,307
1661,1661
